task_id,0,1,2,3,4,5,6,7,8,9
0,1.000000,0.110994,0.111212,0.110931,0.111067,0.110993,0.111089,0.110593,0.111115,0.111004
1,0.110994,1.000000,0.110977,0.110997,0.110962,0.111013,0.111037,0.110825,0.111118,0.111041
2,0.111212,0.110977,1.000000,0.110932,0.111043,0.110979,0.110899,0.110752,0.111074,0.111065
3,0.110931,0.110997,0.110932,1.000000,0.110983,0.110808,0.111271,0.111052,0.111023,0.111193
4,0.111067,0.110962,0.111043,0.110983,1.000000,0.110762,0.111021,0.111159,0.110798,0.111023
5,0.110993,0.111013,0.110979,0.110808,0.110762,1.000000,0.111175,0.110871,0.110959,0.110859
6,0.111089,0.111037,0.110899,0.111271,0.111021,0.111175,1.000000,0.110911,0.110931,0.111221
7,0.110593,0.110825,0.110752,0.111052,0.111159,0.110871,0.110911,1.000000,0.110874,0.111173
8,0.111115,0.111118,0.111074,0.111023,0.110798,0.110959,0.110931,0.110874,1.000000,0.111030
9,0.111004,0.111041,0.111065,0.111193,0.111023,0.110859,0.111221,0.111173,0.111030,1.000000
