task_id,0,1,2,3,4,5,6,7,8,9
0,1.000000,0.110912,0.110929,0.110725,0.110826,0.111145,0.110910,0.110877,0.110967,0.110851
1,0.110912,1.000000,0.110885,0.110917,0.110709,0.110855,0.110854,0.111104,0.110804,0.110774
2,0.110929,0.110885,1.000000,0.111147,0.111219,0.111169,0.110953,0.110904,0.111001,0.110926
3,0.110725,0.110917,0.111147,1.000000,0.110902,0.110989,0.110812,0.110974,0.110787,0.110848
4,0.110826,0.110709,0.111219,0.110902,1.000000,0.110886,0.110957,0.111150,0.110890,0.110774
5,0.111145,0.110855,0.111169,0.110989,0.110886,1.000000,0.110895,0.110989,0.111318,0.110680
6,0.110910,0.110854,0.110953,0.110812,0.110957,0.110895,1.000000,0.110955,0.111113,0.111076
7,0.110877,0.111104,0.110904,0.110974,0.111150,0.110989,0.110955,1.000000,0.111082,0.110987
8,0.110967,0.110804,0.111001,0.110787,0.110890,0.111318,0.111113,0.111082,1.000000,0.110868
9,0.110851,0.110774,0.110926,0.110848,0.110774,0.110680,0.111076,0.110987,0.110868,1.000000
